Domain,Type,Format,PicW,PicH,Label-App,Sub-Label,note
p1.pstatp.com,image,jpeg,544,960,Douyin,Cover,
p1.pstatp.com,image,jpeg,1080,1080,Douyin,Avatar,
p1.pstatp.com,image,jpeg,120,120,Douyin,Small-Icon,
p3.pstatp.com,image,jpeg,100,100,Douyin,Small-Icon,
p3.pstatp.com,image,jpeg,540,960,Douyin,Cover,
p3.pstatp.com,image,jpeg,728,728,Douyin,Avatar,
p9.pstatp.com,image,jpeg,544,960,Douyin,Cover,
p9.pstatp.com,image,jpeg,100,100,Douyin,Small-Icon,
p9.pstatp.com,image,jpeg,620,620,Douyin,Avatar,
p9.pstatp.com,image,png,263,60,Douyin,Small-Icon,
q.qlogo.cn,image,jpeg,40,40,Douyin,Avatar,
wx.qlogo.cn,image,jpeg,640,640,Douyin,Avatar,
wx.qlogo.cn,image,png,120,120,Douyin,Avatar,