Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
aec.shjk123.net,image,jpeg,640,200,MiaoPai,AD,
bsyimg1.cdn.krcom.cn,image,jpeg,640,360,MiaoPai,Cover,
bsyimg2.cdn.krcom.cn,image,jpeg,640,360,MiaoPai,Cover,
bsyimg3.cdn.krcom.cn,image,jpeg,580,326,MiaoPai,Cover,
bsyimg3.cdn.krcom.cn,image,png,124,124,MiaoPai,Avatar,
bsyimg4.cdn.krcom.cn,image,jpeg,580,326,MiaoPai,Cover,
bsyimg5.cdn.krcom.cn,image,jpeg,800,450,MiaoPai,Cover,
bsyimg5.cdn.krcom.cn,image,jpeg,180,180,MiaoPai,Avatar,
bsyimg6.cdn.krcom.cn,image,jpeg,640,360,MiaoPai,Cover,
dyn1.img.miaopai.com,image,jpeg,124,124,MiaoPai,Small-Icon,
go.163.com,image,jpeg,750,422,MiaoPai,Cover,
go.163.com,image,png,84,85,MiaoPai,Small-Icon,
image.newsdog.today,image,webp,250,141,MiaoPai,Cover,
img.alicdn.com,image,gif,640,150,MiaoPai,AD,
img.kuaigeng.com,image,jpeg,200,200,MiaoPai,Avatar,
mti.35kds.com,image,jpeg,640,150,MiaoPai,AD,
q.qlogo.cn,image,gif,100,100,MiaoPai,Avatar,
ss1.baidu.com,image,jpeg,150,150,MiaoPai,Small-Icon,
ss1.bdstatic.com,image,png,1500,520,MiaoPai,Big-Icon,
ss1.bdstatic.com,image,png,448,360,MiaoPai,Small-Icon,
tva1.sinaimg.cn,image,jpeg,180,180,MiaoPai,Avatar,
tva1.sinaimg.cn,image,gif,180,180,MiaoPai,Small-Icon,
tva2.sinaimg.cn,image,jpeg,180,180,MiaoPai,Avatar,
tva2.sinaimg.cn,image,jpeg,179,179,MiaoPai,Avatar,
tva3.sinaimg.cn,image,jpeg,80,80,MiaoPai,Avatar,
tvax2.sinaimg.cn,image,jpeg,180,180,MiaoPai,Avatar,
tvax3.sinaimg.cn,image,jpeg,180,180,MiaoPai,Avatar,
tvax4.sinaimg.cn,image,jpeg,180,180,MiaoPai,Avatar,
wap.miaopai.com,image,x-icon,0,0,MiaoPai,Small-Icon,
wscdn.miaopai.com,image,png,540,720,MiaoPai,AD,
wsqncdn.miaopai.com,image,jpeg,750,422,MiaoPai,AD,
www.baidu.com,image,png,540,258,MiaoPai,Small-Icon,
wx.qlogo.cn,image,jpeg,640,640,MiaoPai,Avatar,