Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note,,,
cms.gtimg.com,image,png,384,168,Muse,Icon,,,,
cms.gtimg.com,image,png,1080,316,Muse,Icon,,,,
image.newsdog.today,image,webp,250,135,Muse,Cover,,,,
is1.mzstatic.com,image,jpeg,600,600,Muse,Avatar,,,,
is2.mzstatic.com,image,jpeg,600,600,Muse,Avatar,,,,
is3.mzstatic.com,image,jpeg,600,600,Muse,Avatar,,,,
is4.mzstatic.com,image,jpeg,600,600,Muse,Avatar,,,,
is5.mzstatic.com,image,jpeg,600,600,Muse,Avatar,,,,
mpak-suse1.akamaized.net,image,jpeg,400,400,Muse,Avatar,,,,
mpal-ocne1.muscdn.com,image,jpeg,540,960,Muse,Cover,,,,
mpal-ocne1.muscdn.com,image,jpeg,600,600,Muse,Avatar,,,,
mus-oss.muscdn.com,image,jpeg,600,600,Muse,Avatar,,,,
music.muscdn.com,image,jpeg,720,720,Muse,Avatar,,,,
music.musical.ly,image,jpeg,400,400,Muse,Avatar,,,,
musically.muscdn.com,image,jpeg,540,960,Muse,Cover,,,,
musically.muscdn.com,image,jpeg,600,600,Muse,Avatar,,,,
musically.muscdn.com,image,jpeg,100,100,Muse,Small-Icon,,,,
res01.musical.ly,image,png,144,144,Muse,Small-Icon,,,,