MP4, , FrmNum,,,,FrmNumRatio(%),,, FrmSize(Byte),,,, FrmSizeRatio(%),,,AvgSize(Byte),,,,MaxSize(Byte),,,MinSize(Byte),,, Compressed Ratio, , , , Bit Rate(kbps), , , , , , , , Frame PSNR(db), , , , , , , , , , Frame QP, , , , , , , , , ,
MP4, Filesize(MB), All,I,P,B, I, P, B, All, I, P, B, I, P, B, Avg, I, P, B, I, P, B, I, P, B, Avg, I, P, B , avg, avgfps30, 1s, 2s, 3s, 4s, 5s, 6s, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB
Apps-Douyin-Muse-01-iphone7:7-Douyin.mp4, 2.32, 446, 2, 207, 237, .44, 46.41, 53.13, 2181849, 74729, 1723617, 383503, 3.42, 78.99, 17.57,4892.03, 37364.50, 8326.65, 1618.15, 48518, 17041, 5813, 26211, 183, 91, 158.95, 20.81, 93.38, 480.54,1147.08, 1147.08, 1254.19, 1154.14, 1196.51, 1166.71, 1153.17, 1160.10, 38.42, 41.30, 37.57, 39.14, 42.81, 41.10, 43.49, 39.80, 31.09, 29.70,26.50, 22.50, 24.88, 27.94, 23.00, 28.00, 35.00, 22.00, 23.00, 26.00
Apps-Douyin-Muse-01-iphone7:7-Muse.mp4, 3.71, 437, 1, 222, 214, .22, 50.80, 48.97, 3687007, 36948, 2721497, 928562, 1.00, 73.81, 25.18,8437.08, 36948.00, 12258.99, 4339.07, 36948, 22146, 10257, 36948, 1064, 332, 92.16, 21.04, 63.43, 179.20,1647.86, 1978.34, 1954.71, 1694.49, 1729.21, 1679.64, 1692.77, 1644.67, 39.15, 39.24, 38.76, 39.56, 39.24, 40.74, 41.48, 39.24, 32.00, 36.24,23.79, 25.00, 22.99, 24.61, 25.00, 29.00, 32.00, 25.00, 21.00, 23.00
Apps-Douyin-Muse-02-iphone7:7-Douyin.mp4, 2.47, 453, 2, 194, 257, .44, 42.82, 56.73, 2345496, 76335, 1823251, 445910, 3.25, 77.73, 19.01,5177.69, 38167.50, 9398.20, 1735.05, 50014, 16443, 5419, 26321, 4510, 805, 150.18, 20.37, 82.73, 448.17,1213.52, 1213.52, 1412.98, 1325.01, 1329.34, 1322.55, 1324.39, 1294.30, 38.43, 40.52, 37.23, 39.32, 42.15, 41.04, 41.60, 38.89, 34.42, 34.17,26.36, 23.50, 24.66, 27.66, 24.00, 27.00, 31.00, 23.00, 23.00, 25.00
Apps-Douyin-Muse-02-iphone7:7-Muse.mp4, 3.81, 452, 1, 227, 224, .22, 50.22, 49.55, 3785072, 35213, 2749984, 999875, .93, 72.65, 26.41,8374.05, 35213.00, 12114.46, 4463.72, 35213, 18442, 8417, 35213, 1816, 904, 92.85, 22.08, 64.18, 174.20,1635.55, 1963.53, 1899.71, 1669.86, 1722.40, 1678.55, 1674.50, 1608.12, 38.36, 39.71, 37.87, 38.85, 39.71, 41.20, 42.71, 39.71, 30.33, 35.13,24.62, 25.00, 23.67, 25.59, 25.00, 30.00, 33.00, 25.00, 20.00, 23.00
Apps-Douyin-Muse-03-iphone7:7-Douyin.mp4, 1.67, 352, 2, 132, 218, .56, 37.50, 61.93, 1558457, 76234, 1135033, 347190, 4.89, 72.83, 22.27,4427.43, 38117.00, 8598.73, 1592.61, 41333, 15876, 4981, 34901, 2471, 178, 175.63, 20.40, 90.43, 488.25,1037.97, 1037.97, 1137.64, 989.37, 1008.34, 1025.65, 1035.89, 1094.33, 38.81, 40.44, 38.23, 39.15, 41.22, 43.88, 52.77, 39.66, 34.16, 31.80,25.13, 22.00, 23.94, 25.87, 23.00, 27.00, 33.00, 21.00, 22.00, 14.00
Apps-Douyin-Muse-03-iphone7:7-Muse.mp4, 2.86, 343, 1, 178, 164, .29, 51.89, 47.81, 2842632, 28188, 2156960, 657484, .99, 75.87, 23.12,8287.55, 28188.00, 12117.75, 4009.04, 28188, 25901, 6498, 28188, 2606, 214, 93.82, 27.58, 64.17, 193.96,1618.66, 1942.96, 1929.40, 1639.30, 1701.22, 1640.47, 1670.60, 1618.56, 38.80, 39.26, 38.53, 39.09, 39.26, 41.08, 41.08, 39.26, 33.28, 36.61,23.64, 25.00, 22.78, 24.57, 25.00, 27.00, 29.00, 25.00, 20.00, 23.00
Apps-Douyin-Muse-04-iphone7:7-Douyin.mp4, 2.45, 442, 2, 183, 257, .45, 41.40, 58.14, 2325851, 100179, 1814677, 410995, 4.30, 78.02, 17.67,5262.10, 50089.50, 9916.26, 1599.20, 51814, 16442, 6753, 48365, 223, 468, 147.77, 15.52, 78.41, 486.24,1233.58, 1233.58, 1278.64, 1173.05, 1252.23, 1177.58, 1091.44, 1112.46, 37.35, 41.26, 36.24, 38.10, 42.39, 44.08, 42.24, 40.13, 30.11, 30.29,27.73, 22.00, 25.31, 29.49, 23.00, 29.00, 36.00, 21.00, 23.00, 25.00
Apps-Douyin-Muse-04-iphone7:7-Muse.mp4, 3.71, 431, 1, 216, 214, .23, 50.11, 49.65, 3693393, 40499, 2800978, 851916, 1.09, 75.83, 23.06,8569.35, 40499.00, 12967.49, 3980.91, 40499, 21691, 6269, 40499, 1266, 919, 90.74, 19.20, 59.96, 195.33,1673.70, 2009.37, 1861.29, 1696.43, 1778.03, 1654.59, 1640.20, 1606.26, 37.09, 39.23, 36.68, 37.50, 39.23, 39.18, 40.31, 39.23, 29.94, 33.81,26.10, 25.00, 25.18, 27.04, 25.00, 31.00, 33.00, 25.00, 22.00, 25.00
Apps-Douyin-Muse-05-iphone7:7-Douyin.mp4, 2.20, 348, 2, 174, 172, .57, 50.00, 49.42, 2107719, 116154, 1703160, 288405, 5.51, 80.80, 13.68,6056.66, 58077.00, 9788.27, 1676.77, 71796, 18427, 3700, 44358, 341, 567, 128.38, 13.38, 79.44, 463.74,1419.53, 1419.53, 1352.78, 1326.80, 1343.34, 1306.85, 1341.75, 1322.17, 34.24, 38.27, 33.53, 34.91, 38.67, 43.72, 40.59, 37.87, 23.62, 24.65,30.00, 23.50, 27.55, 32.56, 24.00, 35.00, 42.00, 23.00, 22.00, 28.00
Apps-Douyin-Muse-05-iphone7:7-Muse.mp4, 2.85, 339, 1, 170, 168, .29, 50.14, 49.55, 2830065, 27770, 2134711, 667584, .98, 75.42, 23.58,8348.27, 27770.00, 12557.12, 3973.71, 27770, 22122, 6287, 27770, 2989, 1344, 93.14, 28.00, 61.92, 195.68,1630.52, 1956.62, 1807.33, 1651.19, 1681.76, 1651.93, 1669.70, 1636.25, 36.47, 39.16, 36.16, 36.78, 39.16, 39.26, 40.57, 39.16, 33.96, 34.70,26.36, 25.00, 25.44, 27.30, 25.00, 28.00, 30.00, 25.00, 20.00, 24.00
Apps-Douyin-Muse-06-iphone7:7-Douyin.mp4, 2.57, 368, 2, 166, 200, .54, 45.10, 54.34, 2487022, 140794, 1993690, 352538, 5.66, 80.16, 14.17,6758.21, 70397.00, 12010.18, 1762.69, 78702, 18916, 8047, 62092, 3182, 703, 115.06, 11.04, 64.74, 441.14,1584.81, 1584.81, 1835.25, 1924.72, 1660.25, 1538.74, 1458.07, 1498.53, 35.80, 38.15, 35.48, 36.04, 39.71, 39.33, 40.07, 36.60, 30.58, 31.15,27.57, 22.50, 25.67, 29.19, 24.00, 28.00, 36.00, 21.00, 24.00, 24.00
Apps-Douyin-Muse-06-iphone7:7-Muse.mp4, 3.03, 364, 1, 183, 180, .27, 50.27, 49.45, 3010393, 55915, 2277099, 677379, 1.85, 75.64, 22.50,8270.31, 55915.00, 12443.16, 3763.21, 55915, 18480, 6608, 55915, 2276, 1228, 94.02, 13.90, 62.49, 206.63,1615.29, 1938.88, 2039.25, 1774.71, 1716.07, 1655.84, 1697.12, 1689.88, 35.44, 36.24, 35.19, 35.69, 36.24, 39.56, 39.69, 36.24, 31.39, 32.74,27.13, 26.00, 26.02, 28.26, 26.00, 31.00, 33.00, 26.00, 22.00, 23.00
Apps-Douyin-Muse-07-iphone7:7p-Douyin.mp4, 1.11, 295, 2, 104, 189, .67, 35.25, 64.06, 1001513, 37232, 635650, 328631, 3.71, 63.46, 32.81,3394.95, 18616.00, 6112.01, 1738.78, 18837, 10840, 5642, 18395, 3456, 638, 229.04, 41.77, 127.22, 447.21,795.96, 795.96, 838.00, 824.33, 794.73, 817.96, 787.30, 806.37, 40.58, 42.84, 39.75, 41.02, 43.96, 42.71, 44.46, 41.72, 35.98, 35.75,24.04, 21.50, 23.28, 24.49, 22.00, 25.00, 29.00, 21.00, 23.00, 22.00
Apps-Douyin-Muse-07-iphone7:7p-Muse.mp4, 2.39, 284, 1, 211, 72, .35, 74.29, 25.35, 2381447, 7401, 2044841, 329205, .31, 85.86, 13.82,8385.37, 7401.00, 9691.18, 4572.29, 7401, 15732, 7844, 7401, 6216, 2900, 92.73, 105.06, 80.23, 170.06,1637.76, 1966.70, 1622.14, 1618.61, 1624.69, 1663.55, 1632.21, 1637.91, 43.00, 43.60, 42.96, 43.10, 43.60, 45.03, 44.86, 43.60, 39.89, 41.38,20.08, 24.00, 19.40, 22.02, 24.00, 22.00, 23.00, 24.00, 17.00, 20.00
Apps-Douyin-Muse-08-iphone7:7p-Douyin.mp4, 1.27, 320, 2, 123, 195, .62, 38.43, 60.93, 1227243, 59605, 848078, 319560, 4.85, 69.10, 26.03,3835.13, 29802.50, 6894.94, 1638.76, 32790, 12547, 4580, 26815, 2765, 613, 202.75, 26.09, 112.77, 474.50,899.42, 899.42, 1108.70, 918.62, 898.87, 820.05, 907.14, 884.45, 38.94, 41.48, 38.34, 39.29, 43.29, 41.68, 42.44, 39.68, 32.34, 32.77,25.41, 22.50, 24.41, 26.08, 24.00, 28.00, 33.00, 21.00, 23.00, 23.00
Apps-Douyin-Muse-08-iphone7:7p-Muse.mp4, 2.49, 297, 1, 156, 140, .33, 52.52, 47.13, 2480845, 20120, 1735105, 725620, .81, 69.94, 29.24,8353.01, 20120.00, 11122.46, 5183.00, 20120, 18709, 7101, 20120, 4007, 1394, 93.09, 38.64, 69.91, 150.02,1631.44, 1957.73, 1819.45, 1653.91, 1681.21, 1627.84, 1683.17, 1655.78, 41.19, 41.27, 40.81, 41.62, 41.27, 44.16, 43.25, 41.27, 37.65, 39.58,22.02, 24.00, 21.13, 23.00, 24.00, 25.00, 27.00, 24.00, 19.00, 22.00
Apps-Douyin-Muse-09-iphone7:7p-Douyin.mp4, 1.06, 292, 2, 90, 200, .68, 30.82, 68.49, 947027, 33883, 536110, 377034, 3.57, 56.60, 39.81,3243.24, 16941.50, 5956.77, 1885.17, 21992, 9182, 3500, 11891, 3168, 972, 239.76, 45.89, 130.54, 412.48,760.39, 760.39, 602.07, 669.42, 725.13, 699.61, 721.60, 729.67, 41.25, 42.84, 40.91, 41.39, 43.13, 45.00, 43.64, 42.56, 38.11, 38.33,23.79, 21.50, 23.52, 23.94, 22.00, 25.00, 26.00, 21.00, 22.00, 20.00
Apps-Douyin-Muse-09-iphone7:7p-Muse.mp4, 2.38, 284, 1, 145, 138, .35, 51.05, 48.59, 2371545, 19634, 1697044, 654867, .82, 71.55, 27.61,8350.51, 19634.00, 11703.75, 4745.41, 19634, 22247, 8369, 19634, 4110, 850, 93.12, 39.60, 66.44, 163.86,1630.95, 1958.53, 1859.66, 1654.78, 1674.48, 1629.04, 1650.96, 1662.21, 40.81, 40.93, 40.09, 41.56, 40.93, 42.18, 43.43, 40.93, 35.01, 38.89,21.95, 24.00, 20.86, 23.08, 24.00, 25.00, 27.00, 24.00, 19.00, 22.00
Apps-Douyin-Muse-10-iphone7:7p-Douyin.mp4, 2.12, 297, 2, 160, 135, .67, 53.87, 45.45, 2061137, 68238, 1632571, 360328, 3.31, 79.20, 17.48,6939.85, 34119.00, 10203.56, 2669.09, 45342, 18149, 8232, 22896, 327, 806, 112.04, 22.79, 76.20, 291.33,1626.52, 1626.52, 1815.38, 1605.28, 1625.03, 1643.74, 1649.49, 1630.72, 37.92, 40.21, 37.81, 38.02, 42.13, 44.12, 39.84, 38.30, 30.77, 33.66,26.60, 23.50, 25.54, 27.90, 24.00, 30.00, 35.00, 23.00, 22.00, 25.00
Apps-Douyin-Muse-10-iphone7:7p-Muse.mp4, 2.44, 289, 1, 148, 140, .34, 51.21, 48.44, 2425577, 35279, 1838372, 551926, 1.45, 75.79, 22.75,8393.00, 35279.00, 12421.43, 3942.32, 35279, 18076, 6857, 35279, 4656, 1684, 92.64, 22.04, 62.60, 197.24,1639.25, 1967.79, 1854.32, 1690.49, 1738.24, 1673.97, 1671.71, 1654.90, 35.71, 39.59, 35.22, 36.20, 39.59, 38.46, 38.04, 39.59, 31.95, 33.42,27.68, 25.00, 26.62, 28.82, 25.00, 30.00, 32.00, 25.00, 25.00, 27.00
Douyin-self-01-iphone7:7-01.mp4, 2.82, 452, 2, 258, 192, .44, 57.07, 42.47, 2711850, 43967, 2231520, 436363, 1.62, 82.28, 16.09,5999.66, 21983.50, 8649.30, 2272.72, 26661, 21050, 9222, 17306, 3429, 546, 129.60, 35.37, 89.90, 342.14,1406.79, 1406.79, 1035.93, 1040.03, 1135.52, 1206.80, 1302.76, 1313.50, 38.44, 41.98, 38.58, 38.21, 43.39, 43.70, 43.73, 40.58, 26.08, 30.84,25.37, 21.50, 24.36, 26.78, 22.00, 31.00, 37.00, 21.00, 22.00, 22.00
Douyin-self-01-iphone7:7-02.mp4, 2.85, 452, 2, 247, 203, .44, 54.64, 44.91, 2739616, 41118, 2229390, 469108, 1.50, 81.37, 17.12,6061.09, 20559.00, 9025.87, 2310.87, 25269, 21030, 9005, 15849, 4115, 513, 128.29, 37.82, 86.15, 336.49,1421.19, 1421.19, 962.46, 983.65, 1100.38, 1180.71, 1288.18, 1328.89, 38.06, 42.21, 38.08, 37.99, 43.55, 42.96, 42.95, 40.87, 27.41, 28.86,25.58, 21.50, 24.41, 27.05, 22.00, 30.00, 36.00, 21.00, 22.00, 22.00
Douyin-self-02-iphone7:7-01.mp4, 4.09, 453, 2, 216, 235, .44, 47.68, 51.87, 4039726, 148286, 3402203, 489237, 3.67, 84.21, 12.11,8917.71, 74143.00, 15750.93, 2081.85, 94914, 27014, 7630, 53372, 3659, 551, 87.19, 10.48, 49.36, 373.51,2090.09, 2090.09, 2532.60, 2108.69, 2137.99, 2208.36, 2108.17, 1950.76, 30.94, 33.40, 30.57, 31.26, 34.63, 39.03, 35.19, 32.18, 19.16, 19.26,33.11, 28.50, 30.83, 35.24, 31.00, 42.00, 47.00, 26.00, 27.00, 28.00
Douyin-self-02-iphone7:7-02.mp4, 4.21, 453, 2, 219, 232, .44, 48.34, 51.21, 4169463, 149553, 3525102, 494808, 3.58, 84.54, 11.86,9204.11, 74776.50, 16096.35, 2132.79, 96746, 26725, 7432, 52807, 2813, 481, 84.48, 10.39, 48.30, 364.59,2157.21, 2157.21, 2523.39, 2096.32, 2116.76, 2164.38, 2129.05, 2122.90, 30.98, 32.88, 30.35, 31.55, 34.43, 34.29, 35.35, 31.33, 17.54, 17.26,33.17, 29.00, 30.87, 35.38, 31.00, 43.00, 48.00, 27.00, 27.00, 30.00
Douyin-self-03-iphone7:7-01.mp4, 2.47, 452, 2, 213, 237, .44, 47.12, 52.43, 2337982, 43271, 1866264, 428447, 1.85, 79.82, 18.32,5172.52, 21635.50, 8761.80, 1807.79, 27944, 15624, 6479, 15327, 3529, 639, 150.33, 35.94, 88.74, 430.13,1212.84, 1212.84, 1052.45, 1072.43, 1169.40, 1135.83, 1159.91, 1220.06, 38.71, 42.26, 38.15, 39.19, 43.81, 44.22, 43.72, 40.72, 27.70, 31.82,25.40, 21.00, 24.28, 26.45, 21.00, 30.00, 38.00, 21.00, 22.00, 22.00
Douyin-self-03-iphone7:7-02.mp4, 2.59, 452, 2, 222, 228, .44, 49.11, 50.44, 2466709, 52677, 2029908, 384124, 2.13, 82.29, 15.57,5457.32, 26338.50, 9143.72, 1684.75, 34614, 20267, 7116, 18063, 414, 531, 142.48, 29.52, 85.04, 461.55,1279.62, 1279.62, 1171.71, 1178.37, 1184.67, 1191.37, 1275.20, 1317.53, 38.06, 42.06, 37.41, 38.64, 43.60, 44.76, 44.02, 40.53, 29.79, 31.91,26.03, 21.00, 24.66, 27.41, 21.00, 32.00, 37.00, 21.00, 21.00, 20.00
Douyin-self-04-iphone7:7p-01.mp4, 2.24, 370, 2, 162, 206, .54, 43.78, 55.67, 2139776, 100792, 1736894, 302090, 4.71, 81.17, 14.11,5783.17, 50396.00, 10721.56, 1466.45, 51139, 19160, 5395, 49653, 404, 560, 134.45, 15.42, 72.52, 530.26,1355.79, 1355.79, 1219.34, 1212.54, 1270.96, 1234.63, 1241.58, 1237.41, 37.75, 40.80, 36.75, 38.50, 41.83, 45.89, 41.40, 39.78, 33.36, 34.83,26.10, 21.50, 24.31, 27.54, 22.00, 29.00, 33.00, 21.00, 20.00, 22.00
Douyin-self-04-iphone7:7p-02.mp4, 2.06, 368, 2, 162, 204, .54, 44.02, 55.43, 1958239, 84870, 1578489, 294880, 4.33, 80.60, 15.05,5321.30, 42435.00, 9743.75, 1445.49, 42611, 18952, 7911, 42259, 3650, 517, 146.12, 18.32, 79.80, 537.94,1247.85, 1247.85, 1368.31, 1160.46, 1150.00, 1158.09, 1164.22, 1203.65, 38.47, 41.27, 37.51, 39.20, 42.29, 45.20, 41.57, 40.26, 34.53, 34.28,25.21, 21.00, 23.75, 26.40, 22.00, 28.00, 32.00, 20.00, 23.00, 21.00
Douyin-self-05-iphone7:7p-01.mp4, 1.76, 452, 2, 215, 235, .44, 47.56, 51.99, 1600816, 44302, 1149956, 406558, 2.76, 71.83, 25.39,3541.62, 22151.00, 5348.63, 1730.03, 23763, 10069, 3099, 20539, 338, 857, 219.56, 35.10, 145.38, 449.47,830.43, 830.43, 783.10, 775.62, 785.44, 788.95, 817.96, 804.05, 41.48, 42.90, 41.26, 41.67, 43.58, 45.05, 45.31, 42.23, 38.58, 34.86,22.63, 19.50, 22.43, 22.83, 20.00, 24.00, 26.00, 19.00, 20.00, 20.00
Douyin-self-05-iphone7:7p-02.mp4, 2.05, 452, 2, 268, 182, .44, 59.29, 40.26, 1907013, 50556, 1556533, 299924, 2.65, 81.62, 15.72,4219.05, 25278.00, 5807.95, 1647.93, 26568, 12801, 5271, 23988, 3058, 626, 184.30, 30.76, 133.88, 471.86,989.27, 989.27, 842.94, 940.87, 946.87, 990.50, 958.64, 968.38, , 42.02, , , 42.73, 45.83, 43.55, 41.31, 36.26, 32.92,23.47, 21.00, 22.94, 24.28, 22.00, 25.00, 31.00, 20.00, -1.00, -1.00
Douyin-self-0x-iphone7:7-01.mp4, 1.04, 230, 2, 106, 122, .86, 46.08, 53.04, 959000, 31765, 701907, 225328, 3.31, 73.19, 23.49,4169.56, 15882.50, 6621.76, 1846.95, 15942, 14033, 6084, 15823, 594, 562, 186.49, 48.95, 117.43, 421.01,978.09, 978.09, 631.23, 747.13, 784.11, 865.60, 909.24, 927.05, 39.44, 44.64, 39.35, 39.43, 45.26, 47.68, 43.92, 44.03, 31.96, 33.18,24.20, 19.50, 23.79, 24.63, 20.00, 28.00, 32.00, 19.00, 19.00, 21.00
Douyin-self-0xx-iphone7:7-01.mp4, 1.39, 221, 1, 86, 134, .45, 38.91, 60.63, 1333459, 42241, 884980, 406238, 3.16, 66.36, 30.46,6033.75, 42241.00, 10290.46, 3031.62, 42241, 21880, 11197, 42241, 3753, 418, 128.87, 18.40, 75.56, 256.49,1415.44, 1415.44, 1336.18, 1390.35, 1571.67, 1613.30, 1510.49, 1470.59, 37.19, 38.73, 36.40, 37.68, 38.73, 40.09, 42.08, 38.73, 29.79, 30.37,27.20, 24.00, 25.15, 28.55, 24.00, 29.00, 35.00, 24.00, 23.00, 24.00
Muse-self-01-iphone7:7-01.mp4, 3.78, 454, 1, 249, 204, .22, 54.84, 44.93, 3753294, 35883, 2921622, 795789, .95, 77.84, 21.20,8267.16, 35883.00, 11733.42, 3900.92, 35883, 22435, 7310, 35883, 1648, 958, 94.05, 21.67, 66.27, 199.33,1614.68, 1938.04, 1751.29, 1678.24, 1741.91, 1748.80, 1690.77, 1668.38, 39.50, 38.79, 39.50, 39.49, 38.79, 44.54, 43.93, 38.79, 31.45, 34.52,23.74, 25.00, 22.70, 25.00, 25.00, 30.00, 33.00, 25.00, 19.00, 20.00
Muse-self-01-iphone7:7-02.mp4, 3.86, 456, 1, 239, 216, .21, 52.41, 47.36, 3832739, 40911, 2983244, 808584, 1.06, 77.83, 21.09,8405.12, 40911.00, 12482.19, 3743.44, 40911, 20434, 6412, 40911, 1823, 1126, 92.51, 19.00, 62.29, 207.72,1641.62, 1969.95, 1817.91, 1602.46, 1738.31, 1671.66, 1718.23, 1662.95, 38.69, 38.17, 38.50, 38.91, 38.17, 43.25, 43.33, 38.17, 31.80, 34.25,24.46, 25.00, 23.37, 25.66, 25.00, 30.00, 32.00, 25.00, 18.00, 21.00
Muse-self-02-iphone7:7-01.mp4, 3.61, 441, 1, 237, 203, .22, 53.74, 46.03, 3573576, 26764, 2726482, 820330, .74, 76.29, 22.95,8103.34, 26764.00, 11504.14, 4041.03, 26764, 16903, 6898, 26764, 2919, 1486, 95.96, 29.05, 67.59, 192.42,1582.68, 1899.22, 1742.78, 1695.83, 1707.87, 1668.58, 1642.75, 1650.74, 38.73, 40.07, 38.48, 39.01, 40.07, 41.63, 40.99, 40.07, 35.36, 36.26,24.02, 25.00, 23.07, 25.13, 25.00, 27.00, 28.00, 25.00, 21.00, 23.00
Muse-self-02-iphone7:7-02.mp4, 3.65, 446, 1, 240, 205, .22, 53.81, 45.96, 3621374, 31655, 2811416, 778303, .87, 77.63, 21.49,8119.67, 31655.00, 11714.23, 3796.60, 31655, 20262, 9352, 31655, 1482, 760, 95.76, 24.56, 66.38, 204.81,1585.87, 1903.90, 1831.84, 1704.52, 1708.07, 1720.19, 1691.69, 1701.35, 38.04, 39.02, 37.85, 38.26, 39.02, 40.77, 41.01, 39.02, 33.07, 34.21,24.75, 25.00, 23.72, 25.95, 25.00, 28.00, 31.00, 25.00, 21.00, 23.00
Muse-self-03-iphone7:7p-01.mp4, 3.94, 469, 2, 243, 224, .42, 51.81, 47.76, 3913220, 41115, 2765357, 1106748, 1.05, 70.66, 28.28,8343.75, 20557.50, 11380.06, 4940.83, 29750, 20093, 9220, 11365, 2954, 2415, 93.19, 37.82, 68.33, 157.38,1629.63, 1955.98, 1724.66, 1590.26, 1650.67, 1634.50, 1664.76, 1614.90, 44.20, 44.89, 43.90, 44.52, 47.10, 47.54, 47.39, 42.69, 38.56, 39.61,19.07, 20.00, 18.08, 20.14, 24.00, 26.00, 25.00, 16.00, 16.00, 18.00
Muse-self-03-iphone7:7p-02.mp4, 3.98, 473, 2, 260, 211, .42, 54.96, 44.60, 3957053, 43104, 2917904, 996045, 1.08, 73.73, 25.17,8365.86, 21552.00, 11222.70, 4720.59, 31347, 17538, 12859, 11757, 3537, 2557, 92.94, 36.08, 69.28, 164.72,1633.95, 1961.57, 1667.78, 1686.53, 1595.64, 1661.59, 1607.97, 1644.52, , , , , 42.53, 46.11, 46.37, 42.53, 37.39, 38.27,17.08, 11.50, 16.61, 17.72, 24.00, 25.00, 25.00, -1.00, -1.00, -1.00
Muse-self-04-iphone7:7p-01.mp4, 2.54, 304, 1, 155, 148, .32, 50.98, 48.68, 2523382, 39244, 1900294, 583844, 1.55, 75.30, 23.13,8300.59, 39244.00, 12259.96, 3944.89, 39244, 18418, 7565, 39244, 4123, 1452, 93.68, 19.81, 63.42, 197.11,1621.21, 1946.09, 1848.33, 1661.96, 1665.04, 1598.93, 1596.47, 1582.31, 37.06, 39.13, 36.58, 37.55, 39.13, 40.15, 40.53, 39.13, 31.62, 33.85,26.48, 25.00, 25.54, 27.47, 25.00, 31.00, 33.00, 25.00, 23.00, 24.00
Muse-self-04-iphone7:7p-02.mp4, 2.51, 303, 1, 152, 150, .33, 50.16, 49.50, 2499490, 40609, 1915990, 542891, 1.62, 76.65, 21.72,8249.14, 40609.00, 12605.19, 3619.27, 40609, 19025, 6680, 40609, 5177, 1295, 94.26, 19.14, 61.68, 214.84,1611.16, 1933.39, 1858.03, 1662.42, 1675.81, 1626.67, 1596.45, 1578.59, 35.55, 38.76, 35.04, 36.04, 38.76, 38.66, 39.25, 38.76, 30.80, 31.73,27.94, 25.00, 26.89, 29.03, 25.00, 31.00, 33.00, 25.00, 24.00, 26.00
